      n  trials    time ratio  log2
      5     100     0.0     -     -
     10     100     0.0   0.4  -1.4
     20     100     0.0   4.1   2.1
     40     100     0.0   1.4   0.5
     80     100     0.2   4.0   2.0
    160     100     1.2   7.2   2.8
    320     100     8.0   6.8   2.8
    640     100    62.8   7.9   3.0

      n  trials    time ratio  log2
     20     100     0.0     -     -
     20     200     0.0   2.2   1.1
     20     400     0.0   1.8   0.9
     20     800     0.0   2.0   1.0
     20    1600     0.1   2.0   1.0
     20    3200     0.2   2.0   1.0
     20    6400     0.3   2.0   1.0
     20   12800     0.7   2.0   1.0
     20   25600     1.3   1.9   0.9
     20   51200     2.6   2.0   1.0
