      n  trials    time ratio  log2
      5     100     0.0     -     -
     10     100     0.0   0.0 -Infinity
     20     100     0.0 Infinity Infinity
     40     100     0.0   1.5   0.6
     80     100     0.2   4.0   2.0
    160     100     1.2   6.5   2.7
    320     100     9.0   7.4   2.9
    640     100    71.6   7.9   3.0

      n  trials    time ratio  log2
     20     100     0.0     -     -
     20     200     0.0 Infinity Infinity
     20     400     0.0   2.1   1.1
     20     800     0.0   1.0  -0.0
     20    1600     0.1   3.0   1.6
     20    3200     0.2   2.0   1.0
     20    6400     0.3   1.8   0.9
     20   12800     0.7   2.0   1.0
     20   25600     1.4   2.0   1.0
     20   51200     2.8   2.0   1.0
